date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-01-01 00:00:00,25.6,21.2,29.2,0,,,8.1,,1014.1,
2024-01-02 00:00:00,25.6,22.2,29,0,,,7.5,,1013.4,
2024-01-03 00:00:00,26.4,20.5,29.8,0,,,8.4,,1012.6,
2024-01-04 00:00:00,25.8,23,29.1,0,,,5.8,,1012.6,
2024-01-05 00:00:00,26.9,22.5,30.2,5.1,,,7.6,,1012.5,
2024-01-06 00:00:00,26.6,23.8,30,1,,,10,,1012.6,
2024-01-07 00:00:00,24.5,22,29,0.8,,,8.6,,1013,
2024-01-08 00:00:00,25.9,21.5,27,65,,,7.6,,1013.5,
2024-01-09 00:00:00,26.9,23.3,29.4,5.1,,,10.2,,1014,
2024-01-10 00:00:00,26.5,22.4,31,0,,,9.1,,1013.6,
2024-01-11 00:00:00,26.9,23.8,30.6,0,,,7.6,,1014.2,
2024-01-12 00:00:00,26.3,23.4,30,0,,,6.8,,1014.1,
2024-01-13 00:00:00,26.6,24,30,0.3,,,6.9,,1014.3,
2024-01-14 00:00:00,26.3,24,31.2,0,,,7.1,,1013.8,
2024-01-15 00:00:00,25.4,22,29,0,,,6.1,,1013.1,
2024-01-16 00:00:00,25.1,21,30.2,0,,,6.9,,1012.2,
2024-01-17 00:00:00,25.3,20.8,30,0,,,6.4,,1011.9,
2024-01-18 00:00:00,25.8,21.2,30,0,,,6.4,,1012.3,
2024-01-19 00:00:00,26.4,23,30.2,0,,,7,,1012.8,
2024-01-20 00:00:00,26.5,23.4,30,0,,,7.8,,1013.9,
2024-01-21 00:00:00,26.4,22.8,30.6,0,,,5.8,,1013.8,
2024-01-22 00:00:00,26.2,22.4,30.4,0,,,5.9,,1014.7,
2024-01-23 00:00:00,26.4,22.6,30.4,0,,,7.4,,1014.3,
2024-01-24 00:00:00,26.8,22.2,31.4,0,,,6.5,,1013.8,
2024-01-25 00:00:00,26.5,22,30.6,0,,,6.7,,1014.7,
2024-01-26 00:00:00,26.3,22.6,30,0.2,,,6.3,,1016.5,
2024-01-27 00:00:00,27,23.2,31,0.3,,,10.5,,1016.3,
2024-01-28 00:00:00,27.2,23,31.6,0,,,12.4,,1016.1,
2024-01-29 00:00:00,26.3,22.6,30.2,0,,,10.4,,1015.6,
2024-01-30 00:00:00,26.3,23,30,0,,,8.5,,1014.6,
2024-01-31 00:00:00,26.8,23,31,0,,,8.6,,1014.3,
2024-02-01 00:00:00,27.6,25,31,0.8,,,8.5,,1014.2,
2024-02-02 00:00:00,28,24.8,31.6,0.7,,,9.6,,1014,
2024-02-03 00:00:00,27.3,24,31,0,,,7.9,,1014.8,
2024-02-04 00:00:00,27.1,22.6,31.6,0,,,7.7,,1016.2,
2024-02-05 00:00:00,26.9,23,31,0,,,7.8,,1016.5,
2024-02-06 00:00:00,26.6,23.4,30.8,0,,,7.8,,1016,
2024-02-07 00:00:00,26.8,22.6,32.6,0,,,6.2,,1015.2,
2024-02-08 00:00:00,26.8,23,31.4,0,,,7,,1014.3,
2024-02-09 00:00:00,27.2,23.6,31.6,0,,,6.7,,1015.3,
